age,listening_time,songs_played_per_day,skip_rate,ads_listened_per_week,is_churned
37,135,47,0.42,0,0
46,232,55,0.01,0,1
23,15,43,0.26,0,0
36,205,33,0.25,46,1
43,75,72,0.57,0,0
25,265,36,0.21,0,0
46,82,65,0.26,0,0
52,180,86,0.13,0,0
51,59,88,0.14,0,1
20,224,68,0.44,5,0
20,190,9,0.21,15,1
32,72,64,0.47,0,0
56,216,73,0.56,0,0
37,287,15,0.34,0,0
49,230,78,0.06,39,0
42,111,64,0.38,0,1
57,294,9,0.37,0,0
38,216,81,0.44,0,1
19,55,24,0.41,39,0
51,159,73,0.47,6,0
32,99,62,0.22,0,1
38,24,88,0.54,0,1
53,273,96,0.39,0,0
46,76,44,0.13,0,1
40,124,76,0.34,42,0
54,299,93,0.27,0,1
54,26,23,0.2,31,1
40,250,81,0.34,0,0
41,256,38,0.37,0,0
44,218,16,0.26,0,0
54,223,73,0.36,0,0
58,110,11,0.43,6,0
55,85,53,0.06,0,0
37,114,13,0.44,0,1
42,235,23,0.33,0,0
53,205,60,0.37,0,0
31,143,41,0.48,0,1
27,247,13,0.34,0,0
55,50,66,0.29,0,0
53,43,89,0.53,0,0
24,15,86,0.54,38,0
32,170,40,0.21,0,0
52,38,92,0.28,0,0
31,94,4,0.44,0,1
30,75,42,0.28,0,1
23,201,16,0.1,45,0
32,278,38,0.22,0,0
30,116,71,0.15,0,0
55,291,39,0.3,0,1
47,35,20,0.32,0,1
50,200,73,0.43,0,0
49,173,98,0.19,0,1
51,113,33,0.04,0,1
41,64,88,0.33,0,1
52,173,45,0.41,0,0
57,125,96,0.46,0,1
55,29,2,0.27,0,0
29,225,40,0.53,0,0
43,48,78,0.36,19,0
50,85,7,0.47,49,1
16,108,82,0.43,0,1
42,293,88,0.1,0,1
57,123,8,0.57,0,0
46,152,27,0.41,0,0
21,138,18,0.28,0,0
55,251,88,0.49,37,0
26,228,74,0.3,40,0
43,201,37,0.19,49,0
55,12,8,0.03,34,0
48,246,27,0.41,24,0
56,20,55,0.38,0,1
55,33,64,0.05,0,0
48,55,98,0.13,0,0
57,207,32,0.13,0,1
31,87,13,0.11,0,1
17,166,53,0.32,0,0
24,240,45,0.53,0,1
29,31,32,0.09,0,0
31,19,25,0.25,0,0
16,97,86,0.15,26,0
27,226,20,0.53,13,1
54,133,99,0.17,24,0
18,152,57,0.38,0,0
50,69,20,0.13,0,1
30,57,24,0.31,0,0
51,175,34,0.59,31,1
40,200,68,0.46,0,1
28,286,97,0.24,0,0
31,191,81,0.08,0,1
44,261,77,0.28,0,0
37,273,15,0.45,12,0
45,101,64,0.41,0,0
39,134,37,0.13,0,1
58,214,45,0.33,0,0
24,175,54,0.51,0,1
44,80,82,0.43,27,0
53,65,26,0.33,0,0
32,247,42,0.48,0,0
58,80,50,0.32,0,0
34,235,94,0.46,0,0
34,26,56,0.52,0,0
21,254,22,0.22,0,1
50,209,21,0.35,21,0
58,171,78,0.19,0,0
47,289,49,0.06,47,0
20,28,49,0.3,0,0
16,27,48,0.43,0,1
57,31,12,0.54,0,0
37,65,56,0.31,44,0
24,224,60,0.2,0,0
24,25,98,0.5,0,0
38,10,10,0.56,0,0
35,276,25,0.49,0,0
48,169,26,0.12,0,0
54,229,17,0.04,0,0
53,124,97,0.47,0,0
43,214,94,0.28,0,0
16,51,49,0.12,0,1
26,41,49,0.46,24,0
18,245,95,0.54,17,0
19,262,97,0.6,0,0
47,128,15,0.11,0,1
21,235,49,0.29,0,1
29,203,72,0.58,0,0
46,204,80,0.25,47,0
37,187,74,0.05,0,0
26,238,1,0.05,0,0
42,199,22,0.4,0,1
51,209,12,0.27,0,0
22,59,54,0.03,0,0
29,271,64,0.34,0,0
43,273,12,0.31,0,1
40,238,43,0.01,0,0
18,91,91,0.22,23,0
21,113,70,0.07,9,0
18,165,21,0.05,43,0
21,249,75,0.31,0,1
51,268,9,0.3,0,0
39,152,1,0.4,0,0
54,276,39,0.16,0,1
49,37,17,0.2,0,0
42,174,92,0.2,0,0
30,76,5,0.2,0,1
47,153,26,0.15,0,1
37,169,37,0.38,0,1
38,267,34,0.44,0,0
41,33,60,0.24,0,0
42,248,60,0.26,0,0
32,106,94,0.07,0,0
30,168,52,0.29,0,0
31,100,32,0.13,0,1
45,13,34,0.05,0,0
16,66,39,0.15,0,0
56,264,91,0.47,0,0
26,244,12,0.3,0,0
48,40,69,0.38,0,1
54,33,61,0.59,29,1
57,255,82,0.19,0,0
42,98,29,0.34,39,0
35,255,34,0.02,0,1
36,266,97,0.4,0,0
50,272,46,0.12,0,0
42,157,96,0.48,0,1
45,215,16,0.26,0,0
32,157,43,0.26,0,0
44,162,4,0.24,0,0
46,255,42,0.58,0,1
38,241,12,0.08,0,1
29,127,70,0.51,12,0
26,200,82,0.5,0,1
53,211,47,0.06,0,1
38,256,73,0.3,0,0
33,184,94,0.15,0,0
48,62,25,0.53,0,0
22,36,32,0.44,0,0
25,241,18,0.14,0,0
58,36,53,0.44,28,0
46,260,31,0.49,0,0
25,149,18,0.02,0,0
29,57,31,0.03,0,0
39,277,91,0.11,0,0
40,299,43,0.09,0,1
